"","site","campaign","date","flow_state","season","position","position_d","water_temp_C","water_pH","water_conductivity_us_cm","DO_mg_L","DO_.","canopy_cover_.","wetted_width_m","discharge_m3_s","mean_velocity_m_s","mean_depth_cm","LML_coarse","LML_fine","k_day_coarse","k_day_fine","k_dday_coarse","k_dday_fine","OM_stock_g_m2","OM_flux_g_m2_s","sed_OM_percent","CO2_C_mg_m2_h","CH4_C_mg_m2_h","temp_C","DailyMeanWaterTemp_C","lat","lon","masl","Distance_to_source_km","dist_ds_dam_km","bedrock","boulder","cobble","pebble_gravel","fine_substrate"
"1","TA01","1","2022-05-30","flowing","Spring","downstream","downstream",13.1,7.6,62.8,9.87,100,4.16666666666667,11.3333333333333,0.8745,0.316166666666667,31.96,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,19.7870701601861,0.229855555564185,20.3333333333333,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1
"2","TA01","2","2022-07-19","flowing","Summer","downstream","downstream",18.85,7.07,66.5,8.61,97.3,20,10.95,0.571666666666667,0.281166666666667,22.81,0.618409103838237,0.409406999792278,0.0671197014390878,0.0342741272406871,0.00338703287329291,0.00172956066815915,3.45091046893558,0.00240100933468119,1.206975546,64.6721251719018,1.14522386350496,22.1666666666667,21.3125,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1
"3","TA01","3","2022-10-10","flowing","Fall","downstream","downstream",11.8,6.9,64.6,10.48,102,8.33333333333333,10.5333333333333,0.709,0.287,26.55,0.328704535753061,0.310524410410247,0.023765952886328,0.0222142578607222,0.00180550591704556,0.00168762322311019,32.1511055987072,0.084330937721797,1.337029534,9.02852762080766,0.073166610986617,19.1666666666667,15.875,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1
"4","TA02","1","2022-05-30","flowing","Spring","downstream","downstream",14,7.71,61.5,9.4,99,33.3333333333333,12.1833333333333,0.949166666666667,0.2585,37.9666666666667,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,12.4490338542455,0.0340304187289668,22,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0
"5","TA02","2","2022-07-19","flowing","Summer","downstream","downstream",20.89,7.35,65.1,8.53,102.5,32.5,12,0.482333333333333,0.23,26.315,0.581018035309749,0.403922128731893,0.0535413966713197,0.0336018419944493,0.00277986699861909,0.00174460618251332,1.27640060640728,0.00107159886183062,1.334740086,-0.805042411254178,0.0206785278056864,30,23.2916666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0
"6","TA02R","3","2022-10-10","flowing","Fall","upstream","upstream",14.4,7.08,57.1,9.01,95.7,32.5,2.65,0.0576666666666667,0.165666666666667,17.3833333333333,0.510279711677879,0.30205386000433,0.0389855722535443,0.0216289964748675,0.00295219643102496,0.00163786350972315,27.0003761183064,0.035661456408085,1.221583234,67.5026815088631,0.0676197138603576,20.5,16.2916666666667,45.4031286,2.6304944,756,6.035641,-7.578176,0,0,60,39,1
"7","TA03","1","2022-05-31","flowing","Spring","downstream","downstream",11.6,7.85,61.8,10.02,100.9,19.1666666666667,11.5,0.933666666666667,0.352833333333333,30.5666666666667,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,0.988486884254984,0.0382125003210034,15.5833333333333,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0
"8","TA03","2","2022-07-19","flowing","Summer","downstream","downstream",20.8,7.46,67,8.11,99.4,20,11.8166666666667,0.47225,0.2375,20.3225,0.430427102101995,0.342204136884754,0.0362129799107944,0.0282433736863439,0.00199761309626861,0.00155798648157732,1.40785546946314,0.001720667379884,1.344027748,-23.0801779349981,0.0841480179530437,27.6666666666667,24.0833333333333,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0
"9","TA03","3","2022-10-11","flowing","Fall","downstream","downstream",11,7.08,67.9,10.31,101.6,1,9.6,0.7006,0.285,32.064,0.337388497139265,0.276760672238339,0.0254176272299023,0.0208604116119891,0.00210732624281832,0.00172949632270241,16.0995585995803,0.0410798303261527,1.174937304,19.709214447568,0.0340015402941605,12.9,11.7708333333333,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0
"10","TA04","1","2022-05-31","flowing","Spring","downstream","downstream",10.6,7.66,69.5,9.84,98,10,5.81666666666667,0.2475,0.205666666666667,28.35,0.64184196118049,0.387015266666211,0.0748133094561198,0.0322845818127742,0.00470031263598659,0.00202835068980781,4.44566534040671,0.00300274860770359,1.547177183,27.2377637093811,2.41274581204364,12.25,11.5416666666667,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5
"11","TA04","2","2022-07-20","flowing","Summer","downstream","downstream",18.35,7.83,71.7,8.43,98.7,54.1666666666667,6.73333333333333,0.164,0.2,9.92,0.504697082650283,0.354694544208524,0.04698459527783,0.0306741383298638,0.00254408068000837,0.0016609163543808,6.73418886035244,0.000374198706823972,1.281806616,26.9333512351591,3.10554496044972,20.8333333333333,20.1875,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5
"12","TA04","3","2022-10-12","flowing","Fall","downstream","downstream",11.1,7.2,69.6,10.03,100.3,23,6.4,0.4264,0.2926,28.866,0.242966997240027,0.266303281143632,0.0195261198254411,0.0211728857292394,0.00163760119677549,0.00177571085906259,13.1349141420152,0.0493798229110099,1.557401661,26.8435764851349,0.618815784750907,13.1,11.5,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5
"13","TA05","1","2022-05-31","standing","Spring","downstream","dam",10.7,7.45,68.8,9.89,98.5,0,28.3333333333333,0,0,103.333333333333,0.788605332844289,0.347217055167912,0.133911594527645,0.028583072466331,0.00872862104471343,0.00186310086689827,7.70046138434771,0.0307530190952247,2.221820809,2.11668036998891,0.174173821432826,12.5,11.4375,45.43763583,2.688341667,888,16.083177,0.01486,0,5,5,10,80
"14","TA05","2","2022-07-20","standing","Summer","downstream","dam",18.3,7.74,71.8,8.46,99.2,0,24,0,0,80,0.382045490655772,0.312952053548488,0.033212441192409,0.0270864707791182,0.00177381976853344,0.00144664214983344,37.9239964535992,0.00294163719061767,1.97823118,2.40952402528213,0.243223496103025,24,20.3333333333333,45.43763583,2.688341667,888,16.083177,0.01486,0,5,5,10,80
"15","TA05","3","2022-10-12","standing","Fall","downstream","dam",11.4,7.2,62.9,10.6,102.4,0,31.4,0,0,91.66666667,0.529041043123204,0.230106184397528,0.0636724078503393,0.0186518995077767,0.00430819823877032,0.00151915923592751,23.5752733283306,0.36997525652884,1.905288558,2.40480440938752,0.0606500770113912,13.1,11.8125,45.43763583,2.688341667,888,16.083177,0.01486,0,5,5,10,80
"16","TA06","1","2022-05-31","flowing","Spring","upstream","upstream",10.9,7.85,67.9,10,100.1,2.5,6.38333333333333,0.399,0.337666666666667,24.3333333333333,0.630413564043785,0.443530963421155,0.0606803409176875,0.0385921112585436,0.00383976845830729,0.00244205568572947,4.7160827440131,0.000419860488552773,1.787072811,2.02052024484641,0.0272227259568899,14.4166666666667,12,45.4380726,2.689841241,910,15.938102,-0.1309326,0,15,65,15,5
"17","TA06","2","2022-07-20","flowing","Summer","upstream","upstream",18.15,7.56,71.7,8.55,99.3,9.16666666666667,6.15,0.157,0.241,12.33,0.557863156179725,0.442654765945302,0.0541250685803802,0.0391658376791479,0.00300731464270176,0.00217614499594145,7.19914630295628,0.000156700458271467,1.748484354,1.1128802527068,0.0836381755369987,20.75,20.5,45.4380726,2.689841241,910,15.938102,-0.1309326,0,15,65,15,5
"18","TA06","3","2022-10-13","flowing","Fall","upstream","upstream",10.9,7.93,67.4,10.34,102.9,0,5.95,0.57,0.4765,26.3925,0.340373975798624,0.212266705738506,0.0280182471557447,0.0183394194707745,0.00235159269710744,0.00153924136142188,17.6488938560629,0.0494296569699441,1.818725283,8.5767496859333,0.0256466174992875,15.375,10.375,45.4380726,2.689841241,910,15.938102,-0.1309326,0,15,65,15,5
"19","TA07","1","2022-06-01","flowing","Spring","upstream","upstream",15.1,7.74,66.2,9.32,102.9,40.8333333333333,7.78333333333333,0.380833333333333,0.332833333333333,18.6166666666667,0.700924702614128,0.265214066677835,0.0847098333908591,0.0232493544556521,0.00529182601907415,0.00145238792133398,3.67265445015458,0.000747030488421257,1.710605104,-1.39311926997796,0.232595531884308,19.5,13.3333333333333,45.435935,2.725985,962,12.281138,-3.7878966,0,5,50,45,0
"20","TA07","2","2022-07-20","flowing","Summer","upstream","upstream",18.35,7.8,69.3,8.57,101,32.5,7.53333333333333,0.201,0.210833333333333,13.6475,0.551940357646492,0.387822642717604,0.0549748106502003,0.0338056964091968,0.00304340338187342,0.0018714820398924,2.97918585220148,0.00148259511554518,1.517632433,-5.06542813980821,0.155125074540293,21.6666666666667,21.1666666666667,45.435935,2.725985,962,12.281138,-3.7878966,0,5,50,45,0
"21","TA07","3","2022-10-11","flowing","Fall","upstream","upstream",11.8,7.16,74.6,9.95,101.6,2.5,7.68333333333333,0.271833333333333,0.2795,16.48,0.40686516944384,0.290638305165094,0.0307092782505211,0.0218222647187408,0.00254524745565891,0.00180867369460719,8.35599665501691,0.0813171456077304,1.818696483,20.6067645363329,0.179029137863461,15.8333333333333,12.4791666666667,45.435935,2.725985,962,12.281138,-3.7878966,0,5,50,45,0
"22","TA08","1","2022-06-01","flowing","Spring","upstream","upstream",14.3,7.36,59,9.3,101,93.3333333333333,5.75833333333333,0.410333333333333,0.237666666666667,38.2,0.567515175629043,0.440380359883143,0.0595885745884171,0.0401825860840717,0.00403780221596228,0.00272282625073731,4.71469470807009,0.00596906704237516,0.92542086,15.7605127498984,0.0157599411652986,21.9166666666667,13.125,45.452477,2.710985,935,14.46601,-2.1459752,5,10,25,40,20
"23","TA08","2","2022-07-18","flowing","Summer","upstream","upstream",19.2,7.34,68.5,8.29,98.9,78.3333333333333,4.98333333333333,0.240166666666667,0.1975,28.8166666666667,0.460149986606688,0.39621645213536,0.0374194058625611,0.0313006104476622,0.00216079062267768,0.00180745963171652,7.15222811553302,0.00413087192356824,1.029675713,37.2708334832522,0.0209899320353929,27.3333333333333,26.25,45.452477,2.710985,935,14.46601,-2.1459752,5,10,25,40,20
"24","TA08","3","2022-10-12","flowing","Fall","upstream","upstream",13.4,7.41,71.3,9.59,101.4,11,6.82,0.7376,0.485,27.548,0.341777887553047,0.266177134555515,0.0268292304081386,0.0211725006353093,0.00220838349268363,0.00174276340359234,50.2099523604662,0.265289358640924,0.925448926,47.0956672851997,0.025387190380723,18.8,13.5208333333333,45.452477,2.710985,935,14.46601,-2.1459752,5,10,25,40,20
"25","TA09","1","2022-06-01","flowing","Spring","downstream","downstream",9.3,7.43,60.4,10.3,99.2,46.6666666666667,7.4,0.277666666666667,0.3065,17.6666666666667,0.705188112503243,0.310692749132637,0.0829757145123252,0.0160955792343921,0.00530077414088264,0.00102824098219148,2.84773106024342,0.000175495782679036,0.93907563,82.2654838929362,12.0502805042227,9.75,12.1666666666667,45.449012,2.688945,892,16.679077,0.066843,0,0,40,40,20
